palavra	classe gramatical	fonema
o-bau-di-ção	NN-F	o-baw-dʒi-sˈə̃w
ob-ce-ca-ção	NN-F	o-bi-se-ka-sˈə̃w
ob-ce-ca-da	NN-F	o-bi-se-kˈa-də
ob-ce-ca-da-men-te	ADVB	o-bi-se-ka-da-mˈẽj-tʃi
ob-ce-ca-do	NN-M	o-bi-se-kˈa-dʊ
ob-ce-ca-do	JJ	o-bi-se-kˈa-dʊ
ob-ce-can-te	JJ	o-bi-se-kˈə̃-tʃi
ob-ce-car	VB	o-bi-se-kˈa
ob-com-pri-mi-do	JJ	ob-kõ-pɾi-mˈi-dʊ
ob-có-ni-co	JJ	ob-kˈɔ-ni-kʊ
ob-cor-da-do	JJ	ob-koɾ-dˈa-dʊ
ob-cor-ren-te	JJ	ob-ko-xˈẽj-tʃi
ob-ro-gar	VB	ob-xo-gˈaɾ
pá	INTJ	pˈa
pá	NN-M	pˈa
pá	NN-F	pˈa
pa-ca	NN-F	pˈa-kə
pa-ca	JJ	pˈa-kə
pa-ca-ça	NN-F	pa-kˈa-sə
pa-ca-ta	NN-F	pa-kˈa-tə
pa-ca-ta-men-te	ADVB	pa-ka-ta-mˈẽj-tʃi
pa-ca-tez	NN-F	pa-ka-tˈes
pa-ca-to	JJ	pa-kˈa-tʊ
pa-ca-to	NN-M	pa-kˈa-tʊ
pa-cau	NN-M	pa-kˈaw
pa-cen-se	JJ	pa-sˈẽj-si
pa-cen-se	NN-M	pa-sˈẽj-si ou pa-sˈẽj-si
pa-cho	NN-M	pˈa-ʃʊ
pa-chor-ra	NN-F	pa-ʃˈo-xə
pa-chor-ren-ta-men-te	ADVB	pa-ʃo-xẽ-ta-mˈẽj-tʃi
pa-chor-ren-to	JJ	pa-ʃo-xˈẽj-tʊ
pa-ci-ên-ci-a	NN-F	pa-si-ˈẽj-sjə
qua-dra	NN-F	kwˈa-dɾə
qua-dra-di-nho	NN-M	kwa-dɾa-dʒˈi-ɲʊ
qua-dra-do	JJ	kwa-dɾˈa-dʊ
qua-dra-do	NN-M	kwa-dɾˈa-dʊ
qua-dra-ge-ná-ri-o	NN-M	kwa-dɾa-ʒe-nˈa-ɾjʊ
qua-dra-ge-ná-ri-o	JJ	kwa-dɾa-ʒe-nˈa-ɾjʊ
qua-dra-gé-si-ma	NN-F	kwa-dɾa-ʒˈɛ-zi-mə
qua-dra-gé-si-mo	NN-M	kwa-dɾa-ʒˈɛ-zi-mʊ
qua-dra-gé-si-mo	número	kwa-dɾa-ʒˈɛ-zi-mʊ ou kwa-dɾa-ʒˈɛ-zi-mʊ
qua-dran-gu-lar	NN-M	kwa-dɾə̃-gu-lˈaɾ
qua-dran-gu-lar	JJ	kwa-dɾə̃-gu-lˈaɾ
qua-dran-te	NN-M	kwa-dɾˈə̃-tʃi
qua-drar	VB	kwa-dɾˈa
qua-dra-tu-ra	NN-F	kwa-dɾa-tˈu-ɾə
qua-dri-cro-mi-a	NN-F	kwa-dɾi-kɾo-mˈi-jə
qua-drí-cu-la	NN-F	kwa-dɾˈi-ku-lə
qua-dri-cu-la-do	NN-M	kwa-dɾi-ku-lˈa-dʊ
qua-dri-cu-la-do	JJ	kwa-dɾi-ku-lˈa-dʊ
qua-dri-cu-lar	VB	kwa-dɾi-ku-lˈa
qua-dri-cu-lar	JJ	kwa-dɾi-ku-lˈaɾ
rã	NN-F	xˈə̃
ra-ba-ça	NN-F	xa-bˈa-sə ou xa-bˈa-sə
ra-ba-çal	NN-M	xa-ba-sˈaw
ra-ba-çal	JJ	xa-ba-sˈaw
ra-ba-da	NN-F	xa-bˈa-də
ra-ba-do	JJ	xa-bˈa-dʊ
ra-ba-na-da	NN-F	xa-ba-nˈa-də
ra-ba-nal	NN-M	xa-ba-nˈaw
ra-ba-nar	VB	xa-ba-nˈa
ra-ba-ne-te	NN-M	xa-ba-nˈe-tʃi
rá-ba-no	NN-M	xˈa-ba-nʊ
ra-bão	NN-M	xa-bˈə̃w
ra-bão	JJ	xa-bˈə̃w
ra-be-ar	VB	xa-bi-ˈa
ra-be-ca	NN-F	xa-bˈɛ-kə
ra-be-ca	NN-M	xa-bˈɛ-kə
ra-be-ca-da	NN-F	xa-be-kˈa-də
ra-be-cão	NN-M	xa-be-kˈə̃w
ra-be-ja-dor	JJ	xa-be-ʒa-dˈoɾ
ra-be-ja-dor	NN-M	xa-be-ʒa-dˈoɾ
sã	NN-F	sˈə̃
sa-a-ri-a-no	JJ	sa-a-ɾjˈə-nʊ
